"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","rstand"
"2","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",1560,41,"No",0.230769230769231,2.96391868361907,0.885435731781629,0.424676804851153,0.157894736842105,-1.53615473585143
"3","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT3","Agriculture",1560,41,"No",0.166666666666667,1.86974845015592,0.0885525817860862,0.326936760584516,0.105263157894737,-0.820483303347675
"4","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",1560,41,"No",0.0512820512820511,3.50752723764831,1.12855474045358,0.497699244953922,0.894736842105263,1.24278293024504
"6","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",1560,41,"No",-0.121794871794872,1.86974845015592,0.0885525817860862,0.326936760584516,0.815789473684211,1.54310341641235
"8","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT1 - DY","Agriculture",1560,41,"No",0.147435897435897,3.50752723764831,1.15214998136275,0.497699244953922,0.467558142276272,-0.957571905993875
"10","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",1560,41,"No",0.0512820512820511,3.50752723764831,1.15214998136275,0.497699244953922,0.894736842105263,1.22123846924008
"11","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Metropolitization_Ultrap","Agriculture",1535.37,16.3699999999999,"No",0.158333170506132,-0.170115410518689,0.171042074033074,0.621264009870093,0.437185929648241,0.739574786141394
"15","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,16.3699999999999,"No",-0.0365514501390544,-0.0647620598592322,0.0771826109080296,0.464745908326201,0.231155778894472,-1.83212694023802
"16","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,16.3699999999999,"No",0.0325654402521867,-0.0655721628672326,0.0762772151592941,0.464946515126509,0.153266331658291,-1.72336953532476
"18","CIRAD (2016)","2050","GlobAgri-AgT","Agriculture","Communities_collapse","Agriculture",1535.37,16.3699999999999,"No",0.361521978415626,-0.15032362398944,0.0378820365357722,0.291930739996779,-0.0226130653266331,1.18318500845324
"156","Clark et al. (2020)","2050","Clark et al. (2020)","Food","Converge_2050+Diet Intensity Slider 0%+Medium_Fertility+Efficiency Slider 50%+Efficiency_Increased_020%+50% To Max Yields + 50% from BAU trends+Waste_Reduced_25%+Waste Slider 50%","Food crops",1283.953925,-235.046075,"No",-0.358688939714095,1.09899680556402,0.135704452300372,0.4594439866874,1.22459743445615,1.82626662717129
"167","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Waste)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.462817882012919,0.620579399332619,0.617995499144527,0.387307204693961,0,1.59183034695285
"168","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Diet)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.235790881105187,-0.087697154078389,-0.0919053729388294,0.747332141530787,0,-1.52134312638101
"170","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Yield)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.101847505652007,0.808572323263699,0.802978662595083,0.548581554140418,0.5,0.619745577262608
"171","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+All)","Agriculture",1429.7969100368,-89.2030899631961,"No",-0.292330962381949,-0.3897403677834,-0.391275849326701,0.557994025442972,0.5,-1.65936758574137
"196","Davis et al. (2016)","2030","Davis et al. (2016)","Food","B","Agriculture",1536.18946,17.1894600000001,"No",0.4826458283947,0.490682292910548,0.439006110918498,0.208237777565317,0,1.72436328480692
"200","Davis et al. (2016)","2035","Davis et al. (2016)","Food","B","Agriculture",1536.18946,17.1894600000001,"No",0.55896637389651,0.610793016611175,0.543445332740409,0.247879459572268,0,2.1184106865931
"204","Davis et al. (2016)","2040","Davis et al. (2016)","Food","S1","Agriculture",1536.18946,17.1894600000001,"No",0.527761047489811,-0.0908819609762972,-0.12322472645118,0.350242513561922,0,2.21201810746811
"207","Davis et al. (2016)","2045","Davis et al. (2016)","Food","S2","Agriculture",1536.18946,17.1894600000001,"No",0.368992342961033,-0.735597761736929,-0.285260103811688,0.181761505916511,0,1.96490940317343
"209","Davis et al. (2016)","2050","Davis et al. (2016)","Food","S3","Agriculture",1536.18946,17.1894600000001,"No",0.398289419513361,-0.885115676053096,-0.349642578989104,0.18687332457654,0,2.3525772754934
"257","FAO (2018)","2030","FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.0292788345062479,0.153507161039415,0.11117054563405,0.28656633459233,0.0319311080219222,-1.22074998390872
"260","FAO (2018)","2035","FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.0162672549616873,0.187484919231268,0.119119409682261,0.345042248768398,0.0557824409914942,-1.24314147466591
"263","FAO (2018)","2040","FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.00959853600518135,0.218140163360518,0.137006016860224,0.400857956896317,0.0871835930221656,-1.26640591522598
"266","FAO (2018)","2050","FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",0.00124321185110055,0.264721502443021,0.185428791808117,0.501195824456554,0.145572189480513,-1.31627330661895
"275","Heck et al. (2018)","2050","LPJmL","Agriculture","SSP2 Optimised - constant ag productivity & diet","Agriculture",1549,30,"No",0.396995016457391,0.393232415902141,0.327412943128252,0.393232415902141,0,-0.711538641111703
"276","Heck et al. (2018)","2050","LPJmL","Agriculture","SSP2 Optimised - yield gap closure & constant diet","Agriculture",1549,30,"No",0.0881356809003608,0.14195568906158,-0.00201488775834557,0.393232415902141,0.5659,0.810087453434963
"277","Heck et al. (2018)","2050","LPJmL","Agriculture","SSP2 Optimised - yield gap & improved diet","Agriculture",1549,30,"No",0.253952597671816,0.45977248958593,0.245411487800968,0.45911765780913,0.4829,1.11948656658609
"278","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_100Org","Agriculture",1354.61,-164.39,"No",0.0223385328618568,-1,-1,0.697463119545012,0.0951219512195123,-2.20660452445158
"280","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_80Org","Agriculture",1354.61,-164.39,"No",-0.0282295273178258,-1,-1,0.697581649195145,0.134146341463415,-2.41793185390811
"284","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_100Org_W50","Agriculture",1354.61,-164.39,"No",-0.0916204664073054,-1,-1,0.492821678591555,0.102439024390244,-2.21522500643079
"286","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_80Org_W50","Agriculture",1354.61,-164.39,"No",-0.136651877662205,-1,-1,0.495014477119003,0.139024390243903,-2.40077894546832
"303","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_100Org","Agriculture",1354.61,-164.39,"No",0.233070773137656,-0.534174814637407,-0.93786750208733,0.610758680473217,0.346341463414634,1.87460842569153
"321","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_20Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.293929618118868,-0.463571001264342,-0.656184315551501,0.416014465305809,0.234146341463415,2.36664875419418
"323","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_100Org","Agriculture",1354.61,-164.39,"No",0.515690863052835,0.538452207107854,0.700550622276357,0.457618372502255,0.141463414634146,1.95534234553762
"329","Muller et al. (2017)","2050","SOLm","Agriculture","100Conc_100Org_W50","Agriculture",1354.61,-164.39,"No",0.358420504794738,0.312146439710315,0.467011148681087,0.2605035643322,0.150536425853659,1.81207428153998
"341","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","EL HD + PASTURE","Agriculture",1560,41,"No",0.449971186205045,-1,-0.869484704518807,0.508177346167992,0.0431856224990232,1.72330723551296
"346","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: ART HD + PASTURE","Agriculture",1560,41,"No",0.0357843403982263,-0.102780656143024,-1,0.322208277512408,0.0431856224990232,-1.66782754293514
"347","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: PBE PD + PASTURE","Agriculture",1560,41,"No",0.226075541653363,-1,-1,0.724477264664653,0,-1.78435042401047
"349","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","WR: EL PD + PASTURE","Agriculture",1560,41,"No",0.126013724325251,-1,-0.480550132948666,0.516890153155653,0,-2.16926837147503
"351","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: INT PD + PASTURE","Agriculture",1560,41,"No",0.238482498079853,10.017873342784,0.886757430687421,0.500065574761508,0.678530729004408,-2.27601637237476
"352","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: INT HD + PASTURE","Agriculture",1560,41,"No",0.162369660426477,4.42388067423952,-0.125156785938348,0.407516292302009,0.719233370307219,1.21825837596462
"353","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: IDP PD + PASTURE","Agriculture",1560,41,"No",0.265439960532273,1.70026607068249,0.80590733868313,0.500065574761508,0.678530729004408,1.84173028101713
"354","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: IDP HD + PASTURE","Agriculture",1560,41,"No",0.154125461167778,1.55295499107914,-0.137860936993247,0.407516292302009,0.719233370307219,2.4535742009625
"355","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: IDA PD + PASTURE","Agriculture",1560,41,"No",0.316172851144242,1.70026607068249,1.75084061441413,0.500065574761508,0.678530729004408,1.47644203309039
"362","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR: EL HD + PASTURE","Agriculture",1560,41,"No",-0.0296465602026789,-1,-0.869484704518807,0.508177346167992,0.719233370307219,1.96034160081704
"371","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR+WR PBE PD + PASTURE","Agriculture",1560,41,"No",-0.229042245906978,-1,-1,0.724477264664653,0.678530729004408,-1.28891002947632
"376","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Coordinated effort","Agriculture",1547,28,"No",0.00258564964447316,0.892168873489495,0.340176850442403,0.465189716072132,0.245996751353849,-0.586174820600743
"377","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,28,"No",-0.116354234001293,0.381510610487418,0.298229218915637,0.410726361727217,0.318432671081678,-0.671971856416502
"575","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+mono (0.7+G+HY+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.49299933998909,-1,6.75771472876453,0.799382722110702,0.539325842696629,-1.38453117209286
"576","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+mono (0.7+G+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.53872203940013,-1,6.75771472876453,0.799382722110702,0.771535580524345,0.760802248547725
"590","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+bau (0.7+G+Org+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.488310023515987,1.5982645349801,1.16738323825382,0.340853703311647,0.119850187265918,1.79271018337743
"592","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+mono (0.7+G+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.226796759217852,-1,4.44480990079633,0.340853703311647,0.771535580524345,2.17866311240627
"607","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-RICH+mono (0.7+R+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.410589635229652,-1,4.76677875966666,0.799382722110702,0.771535580524345,1.32215533373783
"618","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+bau (0.7+R+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.0886622825037757,-0.101676488633862,0.611147104452784,0.340853703311647,0.771535580524345,2.17734594641359
"621","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+mono (0.7+R+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.117033950897496,-1,3.04745665239685,0.340853703311647,0.771535580524345,2.37816762606894
"623","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-MEAT+mono (0.7+R+Org+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.533995446961421,-1,3.04745665239685,0.340853703311647,0.119850187265918,1.70472573426989
"627","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.0682499637385016,-0.89206906704356,-1,0.544222259855059,0.119850187265918,-1.60350527826329
"640","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Med","Agriculture",1549.1997,30.1996999999999,"No",0.386491369705274,0.191324925693234,0.164883580537116,0.0982916700609604,0.302189331595596,1.80471461637778
"643","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","BAU-2050 - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.0321717012984187,0.233728794739001,0.604468995418251,0.430919333797198,0.585489283015361,-2.36683246862812
"645","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Pesc - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.256689347409504,-0.70981749065562,0.0800713178896275,0.0782770628592488,0.585489283015361,-1.84222837767063
"647","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","BAU-2050 - High yield gap closure","Agriculture",1549.1997,30.1996999999999,"No",0.516309229855906,1.08630818860541,1.08879137713706,0.498344852143663,0.585489283015361,1.83449309575008
"648","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Med - high yield gap closure","Agriculture",1549.1997,30.1996999999999,"No",0.154923632505222,0.191324925693234,0.164883580537116,0.0982916700609604,0.585489283015361,1.60413584976377
"708","Weindl et al. (2017a)","2050","MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","Agriculture",1389,-130,"No",0.332613390928726,1.0468160718251,0.716691999121685,0.39413928648416,0.39821596,1.98965360779699
"711","Weindl et al. (2017a)","2050","MAgPIE 3","Agriculture","SSP2-Moderation+Static WP","Agriculture",1389,-130,"No",0.334053275737941,1.27486623619365,0.789437274182467,0.39413928648416,0.40906935,1.91303894308527
