"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nfert","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","NUEinc","NrecHousehold","rstand"
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3",106,2.31999999999999,0.164874643190234,1.86974845015592,0.0885525817860862,0.326936760584516,0.105263157894737,0.201201201201201,0,1.60557362037
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1",106,2.31999999999999,0.583584978048419,3.50752723764831,1.12855474045358,0.497699244953922,0.894736842105263,-0.0465465465465465,0,-0.732053846573867
"5","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG2",106,2.31999999999999,0.417965270872396,2.96391868361907,0.885435731781629,0.424676804851153,0.842105263157895,-0.0795795795795795,0,-2.08315329256771
"87","Bodirsky et al. (2014)",2030,"MAgPIE 2","Agriculture","SSP2-All measures",76.85723,-26.82277,-0.388220455908367,1.18877071870758,0.408039246300875,0.532887166077572,0.498155577123704,0.352766742188735,0.0834646834150526,-2.29514919921852
"95","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP2-Efficiency (crops)",76.85723,-26.82277,-0.093637748281972,3.10616458684991,1.45642955927673,0.679506551925979,0.775353837113553,0.293676168396649,0,-2.66688284835862
"99","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP1-All measures",76.85723,-26.82277,-0.393917323849344,0.600374145303515,-0.357946280935509,0.540848999744142,0.552705059798245,0.358554191474788,0,-1.50121193597461
"102","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-REF",76.85723,-26.82277,0.433441782217482,3.79389488986456,1.52472415533243,0.776313108579529,0.885063355114471,0.0522219295010276,0,-1.5131395801553
"103","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Diet",76.85723,-26.82277,0.398247040597834,2.20590706431504,0.365394301208519,0.958499068433839,0.685193254410064,0.039409874071342,0,-1.05737924700162
"104","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Waste",76.85723,-26.82277,0.0406877782308757,3.13618850072077,0.976800874414717,0.526528510638627,0.781151707405514,0.154073449602192,0.0625806764719302,-2.15476379046368
"106","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Efficiency (livestock)",76.85723,-26.82277,0.312247919965919,2.55568298824406,0.937229621222816,0.776313108579529,0.708148476366073,0.0613520206544074,0,-1.47316320949902
"107","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP1-REF",76.85723,-26.82277,0.137170791758029,3.7624440686327,1.4709003964244,0.615803651065472,0.742500825392759,0.235525580905211,0,-1.04632930841503
"115","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","OS",82.64,-21.04,0.363215014283285,3.20946745570916,1.10076410771936,0.560533550554933,0.267501538800964,0.171893644304537,0,1.29017468139488
"116","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","AM",82.64,-21.04,0.232790014011084,2.17839239907525,0.682764211636072,0.544445575806944,0.569174909989264,0.233372298736243,0.0331745714278913,1.23869813276527
"117","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","IAASTD",83,-20.68,0.225550291344775,0.673988167344445,0.622804437871421,0.775121802579022,0.53731413097164,0.102619565217391,0,-1.08082449792998
"121","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","IM",83,-20.68,-0.0121213605323448,0.673988167344445,0.622804437871421,0.775121802579022,0.53731413097164,0.176469565217391,0,-2.46354088910616
"129","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",100.65,-3.03,0.12121039504318,-0.887371721910191,0.241149725496295,0.148531674588541,0.152173913043478,0.111111111111111,0.07,1.96060699897287
"145","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:Manure_CC:None_Nboundary:No_constrain",100.65,-3.03,0.17354366853184,0.412111307622712,0.833515181801934,0.595914157136668,0.483559937888199,0.0299266666666667,0.062311,-1.94019984467081
"149","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",100.65,-3.03,-0.451916371383682,-0.835676534217585,0.833506642228541,0.595923305941896,0.483578260869565,0.389073333333333,0.062311,-2.89829736166107
"150","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU",103.01,-0.670000000000002,0.563781451503423,0.808572323263699,0.802978662595083,0.548581554140418,0,-0.0171428571428572,0,1.47528722410899
"152","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",103.01,-0.670000000000002,0.285154854932523,-0.087697154078389,-0.0919053729388294,0.747332141530787,0,-0.0533333333333334,0,-1.62286767157374
"154","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",103.01,-0.670000000000002,0.666287382954436,0.808572323263699,0.802978662595083,0.548581554140418,0.5,-0.0190476190476191,0,1.88660513463306
"155","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)",103.01,-0.670000000000002,0.527728844638434,0.808572323263699,0.802978662595083,0.548581554140418,0,0.0419047619047619,0,1.925020937502
"156","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",103.01,-0.670000000000002,-0.0998637799510073,0.808572323263699,0.802978662595083,0.548581554140418,0,0.182857142857143,0,-2.47123273686579
"190","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","B",113.84,10.16,0.517116549777164,0.731092155784097,0.647001312825451,0.283776381814625,0,0,0,1.89577059500286
"194","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","B",113.84,10.16,0.569924044946649,0.850629350801456,0.748845663353005,0.315662977544534,0,0,0,2.15978109872051
"195","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S1",113.84,10.16,0.493060752919574,-0.132408891405442,-0.170810882878743,0.395153010122046,0,0,0,2.17210078226439
"198","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S1",113.84,10.16,0.61816783584475,0.968485281716964,0.848197541483087,0.343345177878391,0,0,0,2.39890388596212
"199","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S2",113.84,10.16,0.538687539914807,-0.180253516703497,-0.224572601368033,0.436234020437047,0,0,0,2.51604404466549
"201","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S3",113.84,10.16,-0.0522368914121505,-1,-0.599281638662522,0.243041632389015,0,0,0,-2.00404898656121
"210","Mogollon et al. (2018a)",2020,"IMAGE-GNM","Agriculture","SSP1",116.125000776779,12.445000776779,-0.30612181343467,0.161612740238434,0.093161301775869,0.122241597942263,0.169811320754717,0.27383489163065,0,-1.8407181467234
"228","Mogollon et al. (2018a)",2050,"IMAGE-GNM","Agriculture","SSP5",116.125000776779,12.445000776779,0.297687736183758,0.875501132373457,0.427647665223405,0.405216727406846,0.478020781241123,0.226015175371001,0,1.45831199564201
"249","Springmann et al. (2018)",2050,"EAT-Lancet","Food","BMK + QW + BAU + SSP3",103.680475008894,0.000475008893999984,0.132982963940776,0.697257622215523,0.711159315703535,0.467298594844094,0,0,0,-2.2043472386136
"276","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3",103.680475008894,0.000475008893999984,0.105868710954302,0.697257622215523,0.711159315703535,0.467298594844094,0.420351434660392,0.0557428749981833,0,-2.21245593549202
"303","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3",103.680475008894,0.000475008893999984,-0.25080623298443,0.697257622215523,0.711159315703535,0.467298594844094,0.529577464788732,0.339,0,-2.04139121530836
