"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nsurplus","Rum_feed_all","Mon_feed_water","Plant_food_water","Yield","NUEinc","rstand"
"31","Beusen et al. (2022)",2050,"IMAGE-GNM","Agriculture","SSP1",129.45208,-4.93791999999999,-0.0971613332534929,-0.143884238759709,0.0341585896871286,0.420297708441982,0.569924179273859,0.141442942080729,-2.35414446133814
"36","Beusen et al. (2022)",2055,"IMAGE-GNM","Agriculture","SSP1",129.45208,-4.93791999999999,-0.0814537096252547,-0.15007585504199,0.0279956649372899,0.427838454385686,0.583690403556525,0.141946667406808,-2.1349521708416
"55","Beusen et al. (2022)",2070,"IMAGE-GNM","Agriculture","SSP5",129.45208,-4.93791999999999,0.411965114785559,0.185797645192315,0.550306293408167,0.451114211642093,0.691734938307126,0.0482141529279474,2.1361735964401
"58","Bodirsky et al. (2014)",2000,"MAgPIE 2","Agriculture","SSP2-Waste",151.9822,17.5922,0.0454023944940699,0.135683956172536,0.143073777759524,0.0844019092585662,0.119342922457217,0.122897939828231,2.35464546795292
"61","Bodirsky et al. (2014)",2000,"MAgPIE 2","Agriculture","SSP2-All measures",151.9822,17.5922,0.0454023944940699,0.135683956172536,0.143073777759524,0.0844019092585662,0.119342922457217,0.122897939828231,2.35464546795292
"101","Bodirsky et al. (2014)",2030,"MAgPIE 2","Agriculture","SSP2-All measures",151.9822,17.5922,-0.000309294567370471,0.605666008411222,0.408039246300875,0.532887166077572,0.498155577123704,0.352766742188735,1.85986626286907
"111","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP2-All measures",151.9822,17.5922,-0.157200968981106,0.480426810237267,0.0269731111603211,0.623083486502254,0.617787982021799,0.445663101322514,1.50381870389325
"113","Bodirsky et al. (2014)",2040,"MAgPIE 2","Agriculture","SSP1-All measures",151.9822,17.5922,-0.387612131458003,-0.0189853150402307,-0.357946280935509,0.540848999744142,0.552705059798245,0.358554191474788,-1.55670034169383
"117","Bodirsky et al. (2014)",2050,"MAgPIE 2","Agriculture","SSP2-Diet",151.9822,17.5922,0.286029857077253,1.0591901673695,0.365394301208519,0.958499068433839,0.685193254410064,0.039409874071342,-1.62706023330486
"126","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","GO",146.655,12.265,0.248678171223187,0.734476090397128,0.723478081916702,0.536707056307912,0.341388734784937,0.145734802360747,1.40683351250022
"127","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","OS",146.655,12.265,0.165208704872035,0.702106421864969,0.684797693161683,0.392322574075959,0.191062634437471,0.155282390087734,1.23518673251422
"129","Bouwman et al. (2009)",2030,"IMAGE 2.4","Agriculture","AM",146.655,12.265,0.0698175969376256,0.417019411496742,0.417839677269214,0.402097546074738,0.339562258401602,0.194946508022717,1.32592641744459
"131","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","OS",146.655,12.265,0.284916668938003,1.24941643424152,1.10076410771936,0.560533550554933,0.267501538800964,0.171893644304537,0.935037297845884
"132","Bouwman et al. (2009)",2050,"IMAGE 2.4","Agriculture","AM",146.655,12.265,0.125950996814797,0.875757825383461,0.682764211636072,0.544445575806944,0.569174909989264,0.233372298736243,1.13913348391851
"133","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","IAASTD",138,3.61000000000001,0.208544751893057,0.979713377313633,0.622804437871421,0.775121802579022,0.53731413097164,0.102619565217391,-1.39551850110307
"134","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","EX",138,3.61000000000001,0.202645029765869,1.05087203250903,0.622804437871421,0.775121802579022,0.53731413097164,0.130186956521739,-1.09620948540941
"135","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","FE",138,3.61000000000001,0.178691788743376,0.979713377313633,0.622804437871421,0.775121802579022,0.53731413097164,0.137513043478261,-1.28368729006533
"136","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","ST",138,3.61000000000001,0.220240791656248,0.979713377313633,0.622804437871421,0.775121802579022,0.53731413097164,0.105589130434783,-1.17825592452308
"137","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","IM",138,3.61000000000001,0.122602322092332,0.979713377313633,0.622804437871421,0.775121802579022,0.53731413097164,0.176469565217391,-1.49096070044735
"138","Bouwman et al. (2013)",2050,"IMAGE 2.4","Agriculture","DI",138,3.61000000000001,0.178691788743376,0.857851988461712,0.651226479316911,0.775121802579022,0.53731413097164,0.109534782608696,-1.70629388603513
"144","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.0894930498909353,0.136228891843707,0.236679930593096,0.237920545283772,0.152476397515528,0.110795555555556,1.77740395207198
"145","Chang et al. (2021)",2020,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.089487043322772,0.140495588956627,0.241149725496295,0.148531674588541,0.152173913043478,0.111111111111111,2.33789790278577
"158","Chang et al. (2021)",2040,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,-0.158573565220542,0.370668745700043,0.659063757094203,0.501720516333371,0.438089440993789,0.316011111111111,-1.16343047785068
"161","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:Manure_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.158784268640053,0.436463388216036,0.833515181801934,0.595914157136668,0.483559937888199,0.0299266666666667,-2.01905678333126
"164","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:DietShift_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.0460073354631625,0.0404902515686387,0.165781434296127,0.666377314640676,0.37234751552795,0.0569511111111112,-2.01268437970906
"166","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU",159.302698812501,24.9126988125013,0.580695571480276,0.791056606780627,0.802978662595083,0.548581554140418,0,-0.0171428571428572,1.69923180905818
"167","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)",159.302698812501,24.9126988125013,0.456812498511128,0.604967179647803,0.617995499144527,0.387307204693961,0,-0.0152380952380953,1.48956826693654
"169","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Feed)",159.302698812501,24.9126988125013,0.343297096209594,0.34329245508547,0.352233996946312,0.548581554140418,0,-0.0190476190476191,-0.478157867263445
"170","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",159.302698812501,24.9126988125013,0.630105309776285,0.791056606780627,0.802978662595083,0.548581554140418,0.5,-0.0190476190476191,2.82679935968916
"172","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",159.302698812501,24.9126988125013,0.149281266369105,0.791056606780627,0.802978662595083,0.548581554140418,0,0.182857142857143,-1.45823357917374
"180","Mogollon et al. (2018a)",2030,"IMAGE-GNM","Agriculture","SSP4",112.318631058822,-22.071368941178,0.478544801692525,0.21988169765017,0.131549454520184,0.264042574790913,0.254716981132076,-0.112217792694276,1.81098056265862
"183","Mogollon et al. (2018a)",2040,"IMAGE-GNM","Agriculture","SSP4",112.318631058822,-22.071368941178,0.513441198918637,0.272407588562709,0.175424964163241,0.336412931501056,0.29874213836478,-0.0932015515866988,2.06235757199026
"383","Willet et al. (2019)",2030,"EAT-Lancet","Food","SSP3_BMK_half_w_BMK, 2500kcal",134.3949583,0.00495830000002684,0.119745835988232,0.296379405827073,0.351544203847099,0.236353610811823,0,0,-1.95239258965978
"384","Willet et al. (2019)",2030,"EAT-Lancet","Food","SSP3_BMK_half_w_TECH, 2500kcal",134.3949583,0.00495830000002684,0.0701526666510463,0.296379405827073,0.351544203847099,0.236353610811823,0.228169014084507,0.0331622271880287,-1.95660976600765
