"","Model","Scenario","Year","CO2_LUC","delta_Pasture","delta_Cropland","delta_Forest_net","Carbon_price","C_price_cat"
"8","AIM/CGE 2.0","ADVANCE_2020_1.5C-2100",2050,140.6341,-10.41544,90.43058,-98.4127999999999,1690.35207,"Yes"
"15","AIM/CGE 2.0","ADVANCE_2020_Med2C",2045,3272.3166,-2.31700000000001,6.05844000000002,4.71467999999991,156.86297,"Yes"
"30","AIM/CGE 2.0","ADVANCE_2030_Med2C",2040,-518.5929,-2.47412000000004,9.61270000000004,38.75488,303.10907,"Yes"
"37","AIM/CGE 2.0","ADVANCE_2030_Price1.5C",2035,859.3812,11.0775000000001,22.01402,29.65056,538.69442,"Yes"
"40","AIM/CGE 2.0","ADVANCE_2030_Price1.5C",2050,-1223.7435,-6.56708000000008,-5.91592000000001,21.2013199999999,1690.35207,"Yes"
"46","AIM/CGE 2.0","ADVANCE_2030_WB2C",2040,-519.1546,-2.48545999999997,9.72240000000002,38.8659000000002,305.31963,"Yes"
"61","AIM/CGE 2.0","ADVANCE_Reference",2035,4917.6671,-1.21876000000002,1.38884000000003,5.85481999999997,10.87669,"Yes"
"62","AIM/CGE 2.0","ADVANCE_Reference",2040,4699.8818,-1.12663999999995,6.10605999999998,3.3494200000001,10.86239,"Yes"
"63","AIM/CGE 2.0","ADVANCE_Reference",2045,4198.8234,-0.792500000000018,7.19888000000001,2.34636,10.88109,"Yes"
"64","AIM/CGE 2.0","ADVANCE_Reference",2050,3648.231,-0.739459999999963,6.25554000000002,2.68226000000004,10.89682,"Yes"
"85","AIM/CGE 2.1","CD-LINKS_NDC2030i_1000",2035,690.8608,-75.71198,-7.64530000000004,-30.67862,74.9275,"Yes"
"104","AIM/CGE 2.1","CD-LINKS_NPi2020_1000",2050,-3877.2278,8.17413999999999,5.71075999999998,4.9172399999999,151.4213,"Yes"
"118","AIM/CGE 2.1","CD-LINKS_NPi2020_400",2040,-3282.1946,-22.25174,11.76406,14.8462400000001,338.1782,"Yes"
"136","AIM/CGE 2.1","CO_2Deg2020",2050,-2265.2629,-2.45776000000005,27.5612199999998,11.5319799999996,119.911212836866,"Yes"
"144","AIM/CGE 2.1","CO_2Deg2030",2050,-3284.9202,-9.62263999999996,35.66884,40.4420399999998,-1764.54855723912,"No"
"152","AIM/CGE 2.1","CO_Bridge",2050,-2755.0402,-3.54178000000002,15.80332,13.0142599999998,120.788835462266,"Yes"
"171","AIM/CGE 2.1","EMF33_Med2C_cost100",2025,1291.0575,-83.2455,-9.60098000000003,-34.0319400000001,54.59146,"Yes"
"179","AIM/CGE 2.1","EMF33_Med2C_full",2025,1292.3883,-83.0026800000001,-9.57237999999998,-33.81714,54.37564,"Yes"
"181","AIM/CGE 2.1","EMF33_Med2C_full",2035,2645.1645,-28.7233800000001,-2.00252,13.2877399999998,202.40121,"Yes"
"182","AIM/CGE 2.1","EMF33_Med2C_full",2040,4746.0492,17.37196,7.27066000000004,27.9497400000001,169.65146,"Yes"
"187","AIM/CGE 2.1","EMF33_Med2C_nobeccs",2025,1292.3883,-83.0026800000001,-9.57237999999998,-33.81714,54.37564,"Yes"
"195","AIM/CGE 2.1","EMF33_Med2C_nofuel",2025,1273.6792,-83.9617200000001,-9.91059999999998,-34.8782,55.29491,"Yes"
"203","AIM/CGE 2.1","EMF33_Med2C_none",2025,1262.9389,-84.5599399999999,-10.4382,-35.6090999999999,55.86922,"Yes"
"211","AIM/CGE 2.1","EMF33_WB2C_cost100",2025,1291.0575,-83.2455,-9.60098000000003,-34.0319400000001,54.59146,"Yes"
"219","AIM/CGE 2.1","EMF33_WB2C_full",2025,1292.3883,-83.0026800000001,-9.57237999999998,-33.81714,54.37564,"Yes"
"262","AIM/CGE 2.2","EN_INDCi2030_1000f",2040,-97.7551,-25.6099,-3.76289999999999,33.27906,142.6092,"Yes"
"270","AIM/CGE 2.2","EN_INDCi2030_1200",2040,-94.0734,-24.55546,-3.73831999999998,33.4597,136.9838,"Yes"
"334","AIM/CGE 2.2","EN_INDCi2030_800f",2040,-105.3021,-27.84792,-3.59195999999997,32.8056000000001,155.1484,"Yes"
"342","AIM/CGE 2.2","EN_INDCi2030_900f",2040,-105.1742,-27.80912,-3.59825999999998,32.8154,154.9239,"Yes"
"436","AIM/CGE 2.2","EN_NPi2020_300f",2030,1064.7703,-19.93102,-4.86772000000001,37.45768,158.3653,"Yes"
"440","AIM/CGE 2.2","EN_NPi2020_300f",2050,-4504.9013,-5.73921999999993,24.68582,21.6142200000001,167.9219,"Yes"
"444","AIM/CGE 2.2","EN_NPi2020_400f",2030,1067.4419,-19.0497600000001,-5.00657999999999,38.0600399999999,153.4045,"Yes"
"448","AIM/CGE 2.2","EN_NPi2020_400f",2050,-4018.7424,-5.94129999999996,19.78404,16.4674999999999,142.4403,"Yes"
"460","AIM/CGE 2.2","EN_NPi2020_600",2030,1064.7703,-19.93102,-4.86772000000001,37.45768,158.3653,"Yes"
"464","AIM/CGE 2.2","EN_NPi2020_600",2050,-4849.5531,-3.70864000000001,23.64188,23.82208,202.727,"Yes"
"476","AIM/CGE 2.2","EN_NPi2020_700",2030,1064.7703,-19.93102,-4.86772000000001,37.45768,158.3653,"Yes"
"480","AIM/CGE 2.2","EN_NPi2020_700",2050,-4404.6976,-6.11543999999994,23.62466,19.85954,157.9811,"Yes"
"492","AIM/CGE 2.2","EN_NPi2020_800",2030,1071.5038,-17.7150000000001,-5.10700000000002,38.9571399999998,146.1539,"Yes"
"521","GCAM 4.2","ADVANCE_2020_1.5C-2100",2015,-3463.52412130267,1.01193442700005,-1.78142332299999,1.23229632820007,0,"No"
"524","GCAM 4.2","ADVANCE_2020_1.5C-2100",2030,3883.20490201967,-11.0266388907203,30.5428056287,8.02010027137967,138.699936,"Yes"
"525","GCAM 4.2","ADVANCE_2020_1.5C-2100",2035,1963.860862359,-7.52680681816,19.70488450728,5.25903132872004,177.02019,"Yes"
"528","GCAM 4.2","ADVANCE_2020_1.5C-2100",2050,-2538.97590072867,0.713144855259998,-5.35331543227999,-0.304528291420001,368.012052,"Yes"
"529","GCAM 4.2","ADVANCE_2020_Med2C",2015,-3463.52412130267,1.01193442700005,-1.78142332299999,1.23229632820007,0,"No"
"531","GCAM 4.2","ADVANCE_2020_Med2C",2025,-2600.97181447767,-1.31471224739998,0.456234167220009,1.82425177601999,34.569,"Yes"
"534","GCAM 4.2","ADVANCE_2020_Med2C",2040,1372.040389181,-4.75182726719995,12.56885172806,3.91063847386008,71.866674,"Yes"
"535","GCAM 4.2","ADVANCE_2020_Med2C",2045,1788.363123822,-5.06561830984001,12.97480840576,3.73029854871993,91.7217,"Yes"
"536","GCAM 4.2","ADVANCE_2020_Med2C",2050,793.972857898,-3.87282438443999,9.01230021350002,2.65252395086009,117.063054,"Yes"
"537","GCAM 4.2","ADVANCE_2020_WB2C",2015,-3463.52412130633,1.01193442700005,-1.78142330299997,1.23229634820009,0,"No"
"539","GCAM 4.2","ADVANCE_2020_WB2C",2025,-2666.46264469933,-2.31449194919996,-0.635938952399965,1.75931808320015,62.1,"Yes"
"541","GCAM 4.2","ADVANCE_2020_WB2C",2035,3131.913412012,-8.69424429813998,23.30103850228,6.36885144693997,101.154276,"Yes"
"542","GCAM 4.2","ADVANCE_2020_WB2C",2040,2669.27997536933,-7.06286995188002,18.56032425182,4.96077316893998,129.101346,"Yes"
"544","GCAM 4.2","ADVANCE_2020_WB2C",2050,-1716.94454814667,0.676470745659935,-4.03113877376004,-0.0113019781001182,210.292542,"Yes"
"545","GCAM 4.2","ADVANCE_2030_1.5C-2100",2015,-3463.52412131367,1.01193442700005,-1.781423283,1.23229636820006,0,"No"
"549","GCAM 4.2","ADVANCE_2030_1.5C-2100",2035,7447.71900141133,-19.5982321867999,41.937770023418,10.5226457660181,233.778762,"Yes"
"553","GCAM 4.2","ADVANCE_2030_Med2C",2015,-3463.52411026233,1.01193442700005,-1.78142332299999,1.23229632820007,0,"No"
"558","GCAM 4.2","ADVANCE_2030_Med2C",2040,1249.824383005,-4.55850068828004,12.0519127785,3.7859757208199,68.853996,"Yes"
"559","GCAM 4.2","ADVANCE_2030_Med2C",2045,1327.60992152433,-4.43800226011999,11.26199115772,3.36998804120008,87.877296,"Yes"
"560","GCAM 4.2","ADVANCE_2030_Med2C",2050,535.364160034,-3.49221800123996,8.02732218994001,2.4607206145,112.155912,"Yes"
"561","GCAM 4.2","ADVANCE_2030_Price1.5C",2015,-3463.52412130633,1.01193442700005,-1.78142330299997,1.23229634820009,0,"No"
"565","GCAM 4.2","ADVANCE_2030_Price1.5C",2035,8429.854079669,-19.2215494682599,44.221491783138,10.976861260278,177.02019,"Yes"
"568","GCAM 4.2","ADVANCE_2030_Price1.5C",2050,-2623.325643191,0.731447960439982,-5.41756130489998,-0.318296054060056,368.012052,"Yes"
"569","GCAM 4.2","ADVANCE_2030_WB2C",2015,-3463.52411026233,1.01193442700005,-1.78142332299999,1.23229632820007,0,"No"
"573","GCAM 4.2","ADVANCE_2030_WB2C",2035,2435.85323577933,-8.81598468328002,19.656180049836,5.86122527315606,107.897922,"Yes"
"574","GCAM 4.2","ADVANCE_2030_WB2C",2040,2648.01489360833,-7.09469987543998,18.6346688911,4.95313639585997,137.708406,"Yes"
"576","GCAM 4.2","ADVANCE_2030_WB2C",2050,-1789.725626491,0.699254526140248,-4.22830464211997,-0.0554004023797008,224.312238,"Yes"
"577","GCAM 4.2","ADVANCE_NoPolicy",2015,-3463.52412130267,1.01193444700002,-1.78142330299997,1.23229636820006,0,"No"
"578","GCAM 4.2","ADVANCE_NoPolicy",2020,-1583.75951284467,-2.01998260220007,6.86832404391998,3.3029513611199,0,"No"
"579","GCAM 4.2","ADVANCE_NoPolicy",2025,-1394.13745837667,-1.42044197999994,5.22583715106002,2.82177719386009,0,"No"
"583","GCAM 4.2","ADVANCE_NoPolicy",2045,12.3978358863333,-1.12309826886003,3.99105196972,2.01246439445999,0,"No"
"584","GCAM 4.2","ADVANCE_NoPolicy",2050,-349.908252470333,-0.448187561819941,2.05789878430001,1.43904671988007,0,"No"
"585","GCAM 5.2","NGFS1_Immediate 2C with CDR (Orderly, Rep)",2015,3260.792354,-8.88625620000002,11.4157352,-0.456579599999985,0,"No"
"587","GCAM 5.2","NGFS1_Immediate 2C with CDR (Orderly, Rep)",2025,1695.792281,-10.1087704000001,-9.99074759999999,-7.68000001230007e-05,96.564761154785,"Yes"
"589","GCAM 5.2","NGFS1_Immediate 2C with CDR (Orderly, Rep)",2035,130.7922081,-11.2384486000001,13.13777,3.13999998973191e-05,157.2934717046,"Yes"
"590","GCAM 5.2","NGFS1_Immediate 2C with CDR (Orderly, Rep)",2040,-651.7078284,-10.8808133999999,13.5313354,-6.11999998918478e-05,200.7508453412,"Yes"
"592","GCAM 5.2","NGFS1_Immediate 2C with CDR (Orderly, Rep)",2050,-685.0621793,-8.88025980000002,11.12047,3.67999999522084e-05,327.0018850329,"Yes"
"594","GCAM 5.3","NGFS2_Delayed Transition",2020,6623.398001,-3.73700000000008,8.86999999999998,5.05239999999994,0,"No"
"595","GCAM 5.3","NGFS2_Delayed Transition",2025,5454.835362,-3.03679999999986,7.33359999999998,4.41580000000008,0,"No"
"597","GCAM 5.3","NGFS2_Delayed Transition",2035,3117.710086,-1.86599999999999,0.28159999999998,3.58299999999999,151.04425105,"Yes"
"600","GCAM 5.3","NGFS2_Delayed Transition",2050,-387.9778286,0.343600000000151,-6.27159999999999,0.458000000000129,786.0282815,"Yes"
"602","GCAM 5.3","NGFS2_Divergent Net Zero Policies",2020,6623.398001,-3.73700000000008,8.86999999999998,5.05239999999994,0,"No"
"603","GCAM 5.3","NGFS2_Divergent Net Zero Policies",2025,4396.984121,1.09600000000009,-17.5216,2.19360000000011,228.07984815,"Yes"
"606","GCAM 5.3","NGFS2_Divergent Net Zero Policies",2040,-2282.257519,-0.556999999999971,-1.54079999999999,0.723200000000042,470.9555543,"Yes"
"607","GCAM 5.3","NGFS2_Divergent Net Zero Policies",2045,-4508.671399,0.311399999999958,-7.66680000000001,-1.42340000000008,827.4915187,"Yes"
"609","GCAM 5.3","NGFS2_Nationally Determined Contributions (NDCs)",2020,6589.671985,-3.61840000000011,8.55839999999998,4.91459999999988,0,"No"
"610","GCAM 5.3","NGFS2_Nationally Determined Contributions (NDCs)",2025,5383.349881,-2.50119999999988,4.84299999999998,3.83180000000016,33.65302941,"Yes"
"611","GCAM 5.3","NGFS2_Nationally Determined Contributions (NDCs)",2030,4177.027777,-1.98899999999994,2.73879999999999,4.14899999999998,89.377153635,"Yes"
"617","GCAM 5.3","NGFS2_Net-Zero 2050",2020,6627.812468,-3.75640000000003,8.91899999999996,5.07199999999993,0,"No"
"618","GCAM 5.3","NGFS2_Net-Zero 2050",2025,3542.857063,-0.0538000000000466,-15.856,2.748,68.187703045,"Yes"
"619","GCAM 5.3","NGFS2_Net-Zero 2050",2030,457.9016576,-2.86859999999997,1.28980000000001,2.60039999999999,108.14883464,"Yes"
"620","GCAM 5.3","NGFS2_Net-Zero 2050",2035,-2627.053748,-5.07099999999991,6.4058,3.81160000000009,153.7583509,"Yes"
"621","GCAM 5.3","NGFS2_Net-Zero 2050",2040,-5712.009153,-2.9652,3.29279999999999,2.10860000000002,195.1197633,"Yes"
"622","GCAM 5.3","NGFS2_Net-Zero 2050",2045,-5341.114315,1.78359999999993,-8.84059999999999,-2.25240000000003,298.8122445,"Yes"
"623","GCAM 5.3","NGFS2_Net-Zero 2050",2050,-4970.219476,2.89860000000008,-13.2752,-3.91319999999991,627.72901345,"Yes"
"630","IMAGE 3.0","CO_2Deg2020",2045,3759.80072999405,-0.736840000000029,16.40624,18.0338000000002,754.573036431064,"Yes"
"631","IMAGE 3.0","CO_2Deg2020",2050,3047.20352617786,-0.842159999999967,1.50367999999999,6.25207999999984,882.075346372132,"Yes"
"638","IMAGE 3.0","CO_2Deg2030",2045,3604.85428604473,-0.792799999999988,20.01016,21.3192,754.573036431064,"Yes"
"639","IMAGE 3.0","CO_2Deg2030",2050,3706.46452440737,-0.789879999999994,10.47464,14.78132,882.075346372132,"Yes"
"655","IMAGE 3.0","CO_Bridge",2050,2967.76041415491,-0.98732,11.00964,14.16984,882.075346372132,"Yes"
"775","IMAGE 3.0","EN_NPi2020_1000f",2050,4276.66450082398,-0.868119999999999,25.20572,29.30104,121.317877984366,"Yes"
"831","IMAGE 3.0","EN_NPi2020_600f",2050,5725.45786750709,-0.977239999999983,28.44876,32.4021600000001,855.61305647795,"Yes"
"839","IMAGE 3.0","EN_NPi2020_800",2050,2583.28049405058,-0.881640000000152,27.4122799999998,31.3066399999996,882.075346372132,"Yes"
"912","IMAGE 3.0.1","ADVANCE_NoPolicy",2015,2865.93965715395,3.96244000000006,7.23822,2.5661000000001,0,"No"
"917","IMAGE 3.0.1","ADVANCE_NoPolicy",2040,5107.75072422367,1.91923999999999,6.81996000000004,4.21488000000004,0,"No"
"918","IMAGE 3.0.1","ADVANCE_NoPolicy",2045,4679.38108288072,2.83504000000003,5.5252,3.45440000000003,0,"No"
