"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Population","Rum_meat_kcal","Non_rum_kcal","Dairy_kcal","Vegetal_kcal","Yield","FCR_FCF_ruminants","FCR_FCF_monogastrics","C_price"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",1560,41,"No",0.207639364778245,0.388085598611914,0.518433798258455,0.404881334289041,0.253044089131573,0.0263609148281851,0.157894736842105,1.15752520544741,-0.0331572553836127,0
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3","Agriculture",1560,41,"No",0.154150679827258,0.388085598611914,-0.273584937066093,-0.272157685176999,0.17138202776723,-0.0440526420622381,0.105263157894737,1.11014353014216,0.0774468679420397,0
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",1560,41,"No",0.0500104205746612,0.388085598611914,0.616437741281288,0.501288967130579,0.324732669230928,0.0789674977188881,0.894736842105263,1.29927727826563,0.0214198229045686,0
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",1560,41,"No",-0.129875081421412,0.388085598611914,-0.273584937066093,-0.272157685176999,0.17138202776723,-0.0440526420622381,0.815789473684211,1.11014353014216,0.0774468679420397,0
"11","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",1560,41,"No",0.0500104205746612,0.388085598611914,0.616437741281288,0.501288967130579,0.324732669230928,0.0789674977188881,0.894736842105263,1.1636492457587,0.0327423631863863,0
"13","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Animp","Agriculture",1535.37,16.3699999999999,"No",0.339214205819281,0.426470588235294,1.01554719116627,0.401264199359241,0.276400710790522,0.0662818229988655,0.457286432160804,-0.160621761658032,-0.13676531395361,0
"16","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,16.3699999999999,"No",-0.0372361917637322,0.426470588235294,0.109983798103405,-0.187786943400977,0.0518542258645298,0.0268321831565119,0.231155778894472,-0.326140767076647,-0.0702706401512097,0
"17","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,16.3699999999999,"No",0.0320464242341258,0.426470588235294,0.10902056035078,-0.188469626394472,0.0509701191811911,0.0269728147278623,0.153266331658291,-0.326140767076647,-0.0702706401503119,0
"19","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","Agriculture",1535.37,16.3699999999999,"No",0.308603175796555,0.426470588235294,-0.122958700049141,-0.282561952922318,-0.0496967382319048,-0.0943165946414328,-0.0226130653266331,-0.288207966924692,0.0141466709490305,0
"156","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.380364631728159,0.424375917767988,0.141672807663965,0.132372309557707,0.0729927007299269,-0.0260245294880546,0,0.0350718220347306,0.00314438370447734,0
"157","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.211711154676902,0.424375917767988,-0.357406042741341,-0.364454521545178,-0.394160583941606,0.226735245755119,0,0.0305805120084193,0.00313607855198605,0
"159","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)","Agriculture",1429.7969100368,-89.2030899631961,"No",0.0969883215292513,0.424375917767988,0.274134119380987,0.261833441486332,0.197080291970803,0.0872000395563139,0.5,0.035691513813334,0.00314550556220539,0
"160","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","Agriculture",1429.7969100368,-89.2030899631961,"No",-0.345778755573821,0.424375917767988,-0.426860722181282,-0.431964098329537,-0.45985401459854,0.0938081766254266,0.5,-0.227984920633153,-0.24764965461491,0
"248","FAO (2018)",2030,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.0297160141401227,0.197830069043258,0.0365133928002068,-0.033714310030005,0.0263268170122164,0.0740808465594365,0.0319311080219222,-0.0497065944763162,-0.0399807048536056,0
"251","FAO (2018)",2035,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.0164010193908189,0.245455826405524,0.0323850809185335,-0.0641258647111507,0.0150922110258553,0.0799598189285349,0.0557824409914942,-0.046572140135367,-0.039868640858715,0
"254","FAO (2018)",2040,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",-0.00964489886749943,0.290263491616176,0.0342295590342752,-0.0805028050316801,0.00217428647680573,0.0857146358079242,0.0871835930221656,-0.0441720761284737,-0.0416283785571657,0
"257","FAO (2018)",2050,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,"No",0.00124243970314326,0.370297308721995,0.0491838037696859,-0.0893376208061099,-0.0225690698535596,0.0955256314825872,0.145572189480513,-0.048888857376281,-0.050044479651239,0
"266","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - constant ag productivity & diet","Agriculture",1549,30,"No",0.334323512950918,0.393232415902141,0,0.0282976458226327,0,0,0,0,-0.0734611460872129,0
"267","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap closure & constant diet","Agriculture",1549,30,"No",0.084465847368406,0.393232415902141,-0.2,0.0745282710215309,0,0,0.5659,-0.174913783167426,-0.333373389697234,0
"268","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap & improved diet","Agriculture",1549,30,"No",0.226300640596589,0.393232415902141,0.0226473784008352,0.393606984698803,0.278309223001044,0.0472894839044697,0.4829,-0.174913783167426,-0.358570421946333,0
"269","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_100Org","Agriculture",1354.61,-164.39,"No",0.0220926823935463,0.369906431404335,-0.361581920903955,-0.915450427780574,-0.376378974691759,0.239108803807052,0.0951219512195123,-1,-1,0
"270","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org","Agriculture",1354.61,-164.39,"No",-0.201643157628153,0.369906431404335,-0.346516007532957,-0.919476597886261,-0.356262167423751,0.239152065758166,0.282926829268293,-1,-1,0
"271","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_80Org","Agriculture",1354.61,-164.39,"No",-0.0286356416228227,0.369906431404335,-0.357815442561205,-0.916456970306995,-0.372485399091499,0.23919532770928,0.134146341463415,-1,-1,0
"272","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_60Org","Agriculture",1354.61,-164.39,"No",-0.075931901825662,0.369906431404335,-0.35593220338983,-0.916960241570206,-0.367942894224529,0.239238589660394,0.170731707317073,-1,-1,0
"273","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org","Agriculture",1354.61,-164.39,"No",-0.12029243798769,0.369906431404335,-0.352165725047081,-0.918470055359839,-0.36404931862427,0.239238589660394,0.207317073170732,-1,-1,0
"274","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org","Agriculture",1354.61,-164.39,"No",-0.162092155802698,0.369906431404335,-0.350282485875706,-0.91897332662305,-0.36015574302401,0.23919532770928,0.246341463414634,-1,-1,0
"275","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_100Org_W50","Agriculture",1354.61,-164.39,"No",-0.0960929991755076,0.369906431404335,-0.470809792843691,-0.926019124308002,-0.45165476963011,0.0897252866104261,0.102439024390244,-1,-1,0
"276","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50","Agriculture",1354.61,-164.39,"No",-0.319846244645379,0.369906431404335,-0.459510357815443,-0.930045294413689,-0.433484750162232,0.0960847934241833,0.292682926829268,-1,-1,0
"277","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_80Org_W50","Agriculture",1354.61,-164.39,"No",-0.146937282982384,0.369906431404335,-0.468926553672316,-0.927025666834424,-0.447761194029851,0.0913259788016438,0.139024390243903,-1,-1,0
"278","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_60Org_W50","Agriculture",1354.61,-164.39,"No",-0.194210855134031,0.369906431404335,-0.467043314500942,-0.927528938097635,-0.444516547696301,0.0927103612372919,0.178048780487805,-1,-1,0
"279","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org_W50","Agriculture",1354.61,-164.39,"No",-0.238568901384099,0.369906431404335,-0.463276836158192,-0.929038751887267,-0.440622972096042,0.0939649578195976,0.217073170731708,-1,-1,0
"280","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org_W50","Agriculture",1354.61,-164.39,"No",-0.280285463905274,0.369906431404335,-0.461393596986817,-0.929542023150478,-0.436729396495782,0.0950897685485617,0.253658536585366,-1,-1,0
"293","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org","Agriculture",1354.61,-164.39,"No",-0.0775579962104651,0.369906431404335,-0.361581920903955,-0.915450427780574,-0.376378974691759,0.179450573220852,0.0902439024390245,-0.410686046417188,-0.389536375206639,0
"299","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org_W50","Agriculture",1354.61,-164.39,"No",-0.195278210749958,0.369906431404335,-0.254237288135593,-0.609964771011575,-0.212199870214147,0.0356478477179321,0.0926829268292686,-0.48025680411478,-0.459967013818245,0
"306","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_60Org_CCyes","Agriculture",1354.61,-164.39,"No",0.491029758540835,0.369906431404335,-0.141242937853107,-0.523905385002516,-0.151849448410123,0.177114427860697,0.160975609756098,-0.439423090202773,-0.34888363305305,0
"307","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_40Org_CCyes","Agriculture",1354.61,-164.39,"No",0.432166121254167,0.369906431404335,-0.137476459510358,-0.530951182687469,-0.146009085009734,0.177547047371837,0.192682926829268,-0.450900034161231,-0.357589038805909,0
"310","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_80Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.436841551300015,0.369906431404335,-0.291902071563088,-0.582284851534977,-0.258922777417261,0.0295911745619728,0.134146341463415,-0.432010309941458,-0.344798548644584,0
"311","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_60Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.373133204832842,0.369906431404335,-0.288135593220339,-0.588827377956719,-0.253731343283582,0.0310620808998487,0.168292682926829,-0.44389274155412,-0.353745763233523,0
"312","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_40Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.313610709189788,0.369906431404335,-0.286252354048964,-0.59536990437846,-0.248539909149903,0.0324464633354964,0.202439024390244,-0.455287136464977,-0.362572349921567,0
"316","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","Agriculture",1354.61,-164.39,"No",0.341923343046054,0.369906431404335,0.205273069679849,0.286361348766986,0.206359506813757,0.0674453817867187,0.373170731707317,-0.141644085489982,-0.144941053760594,0
"322","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_W50","Agriculture",1354.61,-164.39,"No",0.231235570180814,0.369906431404335,-0.00188323917137478,0.109209864116759,0.0616482803374432,-0.0754921046939216,0.391242917560976,-0.14834574691062,-0.144310705773779,0
"327","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.492054790634612,0.369906431404335,-0.0263653483992466,0.0790135883241068,0.0402336145360156,-0.0716417910447761,0.186550813902439,-0.0945030220304969,-0.0876195801969367,0
"328","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_W50_CCyes","Agriculture",1354.61,-164.39,"No",0.428753337053325,0.369906431404335,-0.0207156308851224,0.0593860090588827,0.0473718364698248,-0.0688730261734803,0.219622314390244,-0.113112193928912,-0.10254729944839,0
"331","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,28,"No",-0.123699013849117,0.328571428571429,-0.0905417357341594,0.207680342155206,0.189371022930581,0.0618370464613462,0.318432671081678,0.151158126295425,-0.190877135637887,0
"332","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Breakthrough technologies","Agriculture",1547,28,"No",-0.260685002947771,0.328571428571429,-0.119484889956268,0.165659709794908,0.15481435224584,0.0291102380025698,0.469922737306843,0.144851143211294,-0.191202977823154,0
"527","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+bau (0.7+G+YGC+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.309340333742749,0.535202016862291,1.46020408163265,0.934970414740139,2.05375,0.17208204675783,0.771535580524345,0.0228823192481205,0.117792989120375,0
"530","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+mono (0.7+G+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.430952227368576,0.535202016862291,-1,3.52071253474966,-1,0.17208204675783,0.771535580524345,-1,0.117792989120375,0
"532","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.210392594303449,0.535202016862291,1.94020408163265,-1,1.34358333333333,0.120017644464049,0.539325842696629,0.305572065235138,-1,0
"533","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.245610552287966,0.535202016862291,1.94020408163265,-1,1.34358333333333,0.120017644464049,0.771535580524345,0.305572065235138,-1,0
"534","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.291859889630838,0.535202016862291,1.94020408163265,-1,1.34358333333333,0.120017644464049,0.411985018726592,0.305572065235138,-1,0
"536","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+bau (0.7+G+YGC+BAU+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.104705828166947,0.535202016862291,0.415510204081633,0.0180549833038908,0.368416666666667,0.120017644464049,0.771535580524345,0.171052535229477,0.117792989120375,0
"544","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.0798735532101183,0.535202016862291,0.236122448979592,0.263015838472418,1.49283333333333,-0.126594618438465,0.771535580524345,-0.192850371423289,0.117792989120375,0
"548","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+mono (0.7+G+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.204406511599638,0.535202016862291,-1,2.17289578548076,-1,-0.126594618438465,0.771535580524345,-1,0.117792989120375,0
"550","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+rumi (0.7+G+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.284496484952221,0.535202016862291,-1,-1,1.92158333333333,0.00587560652845176,0.539325842696629,-1,0.117792989120375,0
"552","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+rumi (0.7+G+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.203175617410885,0.535202016862291,-1,-1,1.92158333333333,0.00587560652845176,0.411985018726592,-1,0.117792989120375,0
"553","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+rumi (0.7+G+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",0.0177365658078539,0.535202016862291,-1,-1,1.92158333333333,0.00587560652845176,0.119850187265918,-1,0.117792989120375,0
"562","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-RICH+mono (0.7+R+HY+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.326014757029733,0.535202016862291,-1,3.52071253474966,-1,0.17208204675783,0.539325842696629,-1,-0.169076836060681,0
"564","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-RICH+mono (0.7+R+FAO+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.395605471315467,0.535202016862291,-1,3.52071253474966,-1,0.17208204675783,0.411985018726592,-1,-0.169076836060681,0
"577","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+mono (0.7+R+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.110676914340907,0.535202016862291,-1,2.17289578548076,-1,-0.126594618438465,0.771535580524345,-1,-0.169076836060681,0
"580","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+rumi (0.7+R+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.357327819698622,0.535202016862291,-1,-1,1.92158333333333,0.00587560652845176,0.539325842696629,-1,-0.169076836060681,0
"581","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+rumi (0.7+R+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.279238932421732,0.535202016862291,-1,-1,1.92158333333333,0.00587560652845176,0.411985018726592,-1,-0.169076836060681,0
"582","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.0706907017051436,0.535202016862291,-1,-1,1.92158333333333,0.00587560652845176,0.119850187265918,-1,-0.169076836060681,0
"583","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+bau (0.7+R+HY+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.298616432757307,0.535202016862291,-1,-0.741892162180109,1.51641666666667,0.00587560652845176,0.539325842696629,-1,-0.169076836060681,0
"585","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+bau (0.7+R+FAO+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.220145006929872,0.535202016862291,-1,-0.741892162180109,1.51641666666667,0.00587560652845176,0.411985018726592,-1,-0.169076836060681,0
"586","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+bau (0.7+R+Org+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.0122391395266834,0.535202016862291,-1,-0.741892162180109,1.51641666666667,0.00587560652845176,0.119850187265918,-1,-0.169076836060681,0
"594","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","BAU-2050 - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.0327005848131865,0.404558823529412,0.420525531340113,0.357338605397147,0.48651377012485,0.0187678221988221,0.585489283015361,-0.374488251707236,-0.158404905430569,0
"595","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Med - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.279361848515603,0.404558823529412,-0.51497476340694,-0.119583413141838,0.789560185185185,-0.253239859137695,0.585489283015361,-0.586862116307637,-0.25368325654858,0
"596","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Pesc - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.296641215871685,0.404558823529412,-1,-0.27226695265495,0.230462962962963,-0.232301955036866,0.585489283015361,-0.633965158576675,0.056672496511901,0
"597","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Veg - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.263207796782322,0.404558823529412,-1,-0.408926051282458,0.757563657407408,-0.182442629444244,0.585489283015361,-0.633965158576675,-0.631102353451704,0
"598","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","BAU-2050 - High yield gap closure","Agriculture",1549.1997,30.1996999999999,"No",0.416279243897113,0.404558823529412,0.469002617725039,0.409131304560878,0.532488422809124,0.066772588689866,0.585489283015361,0.00982007880214231,0.0553673896185047,0
"664","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","Agriculture",1389,-130,"No",0.352490535553469,0.337285016232746,0.375,0.462121212121212,0.4625,0.0425146992311172,0.40906935,0.548357043546593,-0.13801563129116,0
