"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Cropland","Population","Rum_meat_kcal_FCR_FCF","Non_rum_kcal_FCR_FCF","Dairy_kcal_FCR_FCF","Vegetal_kcal","Yield","C_price"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",0.207639364778245,0.388085598611914,1.89974667367038,0.358299325104349,1.612730228402,0.0263609148281851,0.157894736842105,0
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3","Agriculture",0.154150679827258,0.388085598611914,0.960492059583601,-0.215788577538274,1.65679413106355,-0.0440526420622381,0.105263157894737,0
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",0.0500104205746612,0.388085598611914,2.29771737674705,0.533446310935098,1.96937418518039,0.0789674977188881,0.894736842105263,0
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",-0.129875081421412,0.388085598611914,0.960492059583601,-0.215788577538274,1.65679413106355,-0.0440526420622381,0.815789473684211,0
"11","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",0.0500104205746612,0.388085598611914,2.29771737674705,0.550444715740083,1.96937418518039,0.0789674977188881,0.894736842105263,0
"12","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Ultrap","Agriculture",0.14698204977839,0.426470588235294,-0.438062880056014,-0.179063288306711,0.0124540782778586,0.136556213104808,0.437185929648241,0
"13","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Animp","Agriculture",0.339214205819281,0.426470588235294,0.165149096617087,0.20961986120192,0.121685473118943,0.0662818229988655,0.457286432160804,0
"16","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",-0.0372361917637322,0.426470588235294,-0.354268371501812,-0.244861674827361,-0.129457952934751,0.0268321831565119,0.231155778894472,0
"17","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",0.0320464242341258,0.426470588235294,-0.354828733809528,-0.245496385249155,-0.130189662731615,0.0269728147278623,0.153266331658291,0
"167","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU","Agriculture",0.511562252565196,0.424375917767988,0.274134119380988,0.265802545595105,0.197080291970803,0.0872000395563139,0,0
"169","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)","Agriculture",0.211711154676902,0.424375917767988,-0.357406042741341,-0.362461401001384,-0.394160583941606,0.226735245755119,0,0
"172","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)","Agriculture",0.51156224750009,0.424375917767988,0.274134119380988,0.265802545595105,0.197080291970803,0.0872000395563139,0,0
"173","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)","Agriculture",0.51156224750009,0.424375917767988,0.274134119380988,0.265802545595105,0.197080291970803,0.0872000395563139,0,0
"174","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","Agriculture",-0.345778755573821,0.424375917767988,-0.570145541635962,-0.572637993187096,-0.594890510948905,0.0938081766254266,0.5,0
"265","FAO (2018)",2030,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",-0.0297160141401227,0.197830069043258,-0.0544849093908887,-0.0723470930049581,-0.0204317549282622,0.0740808465594365,0.0319311080219222,0
"268","FAO (2018)",2035,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",-0.0164010193908189,0.245455826405524,-0.0676039174551486,-0.101437894499942,-0.0265856826021429,0.0799598189285349,0.0557824409914942,0
"271","FAO (2018)",2040,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",-0.00964489886749943,0.290263491616176,-0.0780356602060841,-0.118779982346073,-0.0349146214065388,0.0857146358079242,0.0871835930221656,0
"274","FAO (2018)",2050,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",0.00124243970314326,0.370297308721995,-0.0946300723516549,-0.134911245710827,-0.0603783940652788,0.0955256314825872,0.145572189480513,0
"283","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - constant ag productivity & diet","Agriculture",0.334323512950918,0.393232415902141,0,-0.0472422777582807,0,0,0,0
"284","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap closure & constant diet","Agriculture",0.084465847368406,0.393232415902141,-0.183246635510992,-0.283690861014425,-0.137365788473763,0,0.5659,0
"285","Heck et al. (2018)",2050,"LPJmL","Agriculture","SSP2 Optimised - yield gap & improved diet","Agriculture",0.226300640596589,0.393232415902141,0.0440633587434316,-0.106099259832005,0.102713268670223,0.0472894839044697,0.4829,0
"287","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org","Agriculture",-0.201643157628153,0.369906431404335,-1,-1,-1,0.239152065758166,0.282926829268293,0
"288","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_80Org","Agriculture",-0.0286356416228227,0.369906431404335,-1,-1,-1,0.23919532770928,0.134146341463415,0
"289","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_60Org","Agriculture",-0.075931901825662,0.369906431404335,-1,-1,-1,0.239238589660394,0.170731707317073,0
"290","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org","Agriculture",-0.12029243798769,0.369906431404335,-1,-1,-1,0.239238589660394,0.207317073170732,0
"291","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org","Agriculture",-0.162092155802698,0.369906431404335,-1,-1,-1,0.23919532770928,0.246341463414634,0
"293","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_0Org_W50","Agriculture",-0.319846244645379,0.369906431404335,-1,-1,-1,0.0960847934241833,0.292682926829268,0
"294","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_80Org_W50","Agriculture",-0.146937282982384,0.369906431404335,-1,-1,-1,0.0913259788016438,0.139024390243903,0
"295","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_60Org_W50","Agriculture",-0.194210855134031,0.369906431404335,-1,-1,-1,0.0927103612372919,0.178048780487805,0
"296","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_40Org_W50","Agriculture",-0.238568901384099,0.369906431404335,-1,-1,-1,0.0939649578195976,0.217073170731708,0
"297","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_20Org_W50","Agriculture",-0.280285463905274,0.369906431404335,-1,-1,-1,0.0950897685485617,0.253658536585366,0
"310","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org","Agriculture",-0.0775579962104651,0.369906431404335,-0.63865599916398,-0.948385561668201,-0.630556264627819,0.179450573220852,0.0902439024390245,0
"316","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org_W50","Agriculture",-0.195278210749958,0.369906431404335,-0.624244471014475,-0.789368110573296,-0.589687432403201,0.0356478477179321,0.0926829268292686,0
"323","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_80Org_CCyes","Agriculture",0.554024516753505,0.369906431404335,-0.52733061295486,-0.680931325503759,-0.515356623596382,0.176552022496214,0.126829268292683,0
"328","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_100Org_W50_CCyes","Agriculture",0.505539309579654,0.369906431404335,-0.638580353504258,-0.736128372319736,-0.614719482487404,0.027903958468527,0.336585365853659,0
"329","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_80Org_W50_CCyes","Agriculture",0.436841551300015,0.369906431404335,-0.607673311540555,-0.726312428472574,-0.578454367131548,0.0295911745619728,0.134146341463415,0
"349","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org_W50_CCyes","Agriculture",0.559726514783475,0.369906431404335,-0.134157767490954,0.0205587409043964,-0.0431450756853601,-0.0746701276227557,0.153169848292683,0
"350","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org_W50_CCyes","Agriculture",0.492054790634612,0.369906431404335,-0.147518611189274,-0.0155291293116417,-0.0569051545457701,-0.0716417910447761,0.186550813902439,0
"351","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org_W50_CCyes","Agriculture",0.428753337053325,0.369906431404335,-0.158757073988171,-0.049251165243513,-0.0698296301333703,-0.0688730261734803,0.219622314390244,0
"352","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","No productivity gains after 2010","Agriculture",0.524181414947546,0.4,0.330691395530922,0.210651853179383,0.196211957558725,0.0939115524024736,0,0
"354","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Coordinated effort","Agriculture",0.00258231260347269,0.357142857142857,0.356360179945557,-0.0125012680950715,0.722728435273556,0.079613475000518,0.245996751353849,0
"355","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",-0.123699013849117,0.328571428571429,-0.029511831078367,-0.0228382223215635,0.641496543414954,0.0618370464613462,0.318432671081678,0
"356","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Breakthrough technologies","Agriculture",-0.260685002947771,0.328571428571429,-0.0641356174420904,-0.0572178978463517,0.583127692513581,0.0291102380025698,0.469922737306843,0
"431","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3","Food crops",-0.393973862985251,0.448260806287294,0.192616389065772,0.181527048356848,0.0593541601674565,0.013145276371598,0.529577464788732,99
"556","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)","Agriculture",0.369204436321672,0.535202016862291,2.20897783096225,1.16289636375187,2.87088186487867,0.17208204675783,0.411985018726592,0
"557","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+mono (0.7+G+HY+RICH+mono)","Agriculture",0.400787076486688,0.535202016862291,-1,4.05322077717177,-1,0.17208204675783,0.539325842696629,0
"559","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)","Agriculture",0.471779648335861,0.535202016862291,-1,4.05322077717177,-1,0.17208204675783,0.411985018726592,0
"560","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)","Agriculture",0.210392594303449,0.535202016862291,2.8350679063188,-1,1.97068660624868,0.120017644464049,0.539325842696629,0
"561","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)","Agriculture",0.245610552287966,0.535202016862291,2.8350679063188,-1,1.97068660624868,0.120017644464049,0.771535580524345,0
"562","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","Agriculture",0.291859889630838,0.535202016862291,2.8350679063188,-1,1.97068660624868,0.120017644464049,0.411985018726592,0
"572","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)","Agriculture",0.0798735532101183,0.535202016862291,0.612341660899075,0.411790249392461,2.15987338261647,-0.126594618438465,0.771535580524345,0
"576","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+mono (0.7+G+YGC+MEAT+mono)","Agriculture",0.204406511599638,0.535202016862291,-1,2.54664066421998,-1,-0.126594618438465,0.771535580524345,0
"579","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+rumi (0.7+G+HY+VEGET+rumi)","Agriculture",-0.284496484952221,0.535202016862291,-1,-1,2.70334963298625,0.00587560652845176,0.539325842696629,0
"581","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+rumi (0.7+G+FAO+VEGET+rumi)","Agriculture",-0.203175617410885,0.535202016862291,-1,-1,2.70334963298625,0.00587560652845176,0.411985018726592,0
"582","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+rumi (0.7+G+Org+VEGET+rumi)","Agriculture",0.0177365658078539,0.535202016862291,-1,-1,2.70334963298625,0.00587560652845176,0.119850187265918,0
"583","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)","Agriculture",-0.229770295381375,0.535202016862291,-1,-0.711488868447907,2.18976721718492,0.00587560652845176,0.539325842696629,0
"585","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+bau (0.7+G+FAO+VEGET+bau)","Agriculture",-0.148293331236316,0.535202016862291,-1,-0.711488868447907,2.18976721718492,0.00587560652845176,0.411985018726592,0
"586","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+bau (0.7+G+Org+VEGET+bau)","Agriculture",0.0713715700545043,0.535202016862291,-1,-0.711488868447907,2.18976721718492,0.00587560652845176,0.119850187265918,0
"592","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-RICH+mono (0.7+R+YGC+RICH+mono)","Agriculture",0.344007797990703,0.535202016862291,-1,2.75636476263433,-1,0.17208204675783,0.771535580524345,0
"603","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+bau (0.7+R+YGC+MEAT+bau)","Agriculture",-0.0928417396651681,0.535202016862291,-0.446164529275008,0.049469116608974,0.158711294919431,-0.126594618438465,0.771535580524345,0
"606","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+mono (0.7+R+YGC+MEAT+mono)","Agriculture",0.110676914340907,0.535202016862291,-1,1.63643260492141,-1,-0.126594618438465,0.771535580524345,0
"621","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Crop-high yield_Diet-VEGAN (0.7+HY+VEGAN)","Agriculture",-0.459539940380724,0.535202016862291,-1,-1,-1,0.160494044993383,0.539325842696629,0
"623","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Crop-FAOyield_Diet-VEGAN (0.7+YGC+VEGAN)","Agriculture",-0.484871065951311,0.535202016862291,-1,-1,-1,0.160494044993383,0.411985018726592,0
"624","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Crop-organic-yield_Diet-VEGAN (0.7+YGC+VEGAN)","Agriculture",-0.484871065951311,0.535202016862291,-1,-1,-1,0.160494044993383,0.119850187265918,0
"631","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Pesc - all measures","Agriculture",-0.296641215871685,0.404558823529412,-1,-0.231024504067693,-0.199287620027435,-0.232301955036866,0.585489283015361,0
