"","Study","ScenYear","Model","Scope","Scenario..author.code.","Pasture.scope","Initial_condition","Delta_initial","Pasture","Rum_meat_kcal_pop","Dairy_kcal_pop","FCR_grass_rum_meat","FCR_grass_dairy","FCR_grass_mon","C_price"
"8","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Animp","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,0.20911754660339,1.87511878739895,0.820748072745303,-0.42191921790584,-0.121212121212121,-0.11657486532836,0
"14","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,0.436933374079467,0.251073619047549,0.355579652816253,-0.116551753751038,-0.0250746303478728,0.0571006549854514,0
"15","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.59229300925875,0.626171253207115,0.528344962860542,0,0,0.00314438370447734,0
"17","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Feed)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,0.336192140400502,0.814845955652801,0.705092339517884,-0.25,-0.25,-0.247640870828346,0
"19","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,-0.595549096882483,-0.183634215148082,-0.230629066315101,-0.25,-0.25,-0.24764965461491,0
"44","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","B","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,0.50657513653083,0.485213637698804,0.569874094871646,0,0,0.0263775824854378,0
"48","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","B","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,0.644219195115779,0.603766329926577,0.712546730974839,1.55431223447522e-15,0,0.0306901540297073,0
"56","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S2","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,-0.720571599247,-0.833910523545951,0.6880730425057,1.55431223447522e-15,0,-0.00301922163984403,0
"57","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S3","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,-0.674361928038326,-0.833910523545951,1.32676257468809,1.55431223447522e-15,0,-0.37341274831419,0
"116","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","No productivity gains after 2010","FAO - Permanent meadows and pastures",3322,45,0.661950632149308,0.862967953743291,0.674696740582215,0,0,0,0
"245","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.493756843487877,3.51380723610919,2.59787386001818,-0.683443809419173,-0.241404504910874,-1,0
"246","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+bau (0.7+G+HY+BAU+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,-0.653850857214723,1.17309412019528,1.10079602657464,-0.683443809419173,-0.241404504910874,-0.566475974733661,0
"247","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+bau (0.7+G+YGC+BAU+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,-0.619418623638922,1.17309412019528,1.10079602657464,-0.683443809419173,-0.241404504910874,-0.566475974733661,0
"248","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+bau (0.7+G+FAO+BAU+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,-0.647840183156831,1.17309412019528,1.10079602657464,-0.683443809419173,-0.241404504910874,-0.566475974733661,0
"254","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-MEAT+bau (0.7+G+HY+MEAT+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.343589200661911,0.897697676762224,2.82700276103488,-0.683443809419173,-0.241404504910874,-0.566475974733661,0
"255","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.514635126797675,0.897697676762224,2.82700276103488,-0.683443809419173,-0.241404504910874,-0.566475974733661,0
"256","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-MEAT+bau (0.7+G+FAO+MEAT+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.53847940578658,0.897697676762224,2.82700276103488,-0.683443809419173,-0.241404504910874,-0.566475974733661,0
"257","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+bau (0.7+G+Org+MEAT+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.422925308844365,0.897697676762224,2.82700276103488,-0.683443809419173,-0.241404504910874,-0.566475974733661,0
"276","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-RICH+mono (0.7+R+FAO+RICH+mono)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,-0.427480730245592,-1,-1,-1,-1,-0.163285049977325,0
"277","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-BAU+bau (0.7+R+HY+BAU+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.662349921985901,1.17309412019528,1.10079602657464,-0.298007560143555,0.347032304986548,-0.163285049977325,0
"278","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-BAU+bau (0.7+R+YGC+BAU+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.657611855070602,1.17309412019528,1.10079602657464,-0.298007560143555,0.347032304986548,-0.163285049977325,0
"279","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-BAU+bau (0.7+R+FAO+BAU+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.624941429770165,1.17309412019528,1.10079602657464,-0.298007560143555,0.347032304986548,-0.163285049977325,0
"285","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-MEAT+bau (0.7+R+FAO+MEAT+bau)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,0.660447853245896,0.897697676762224,2.82700276103488,-0.298007560143555,0.347032304986548,-0.163285049977325,0
"293","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","‘Grassland’ category by IPCC",2923.13305143056,-353.86694856944,-0.0508848036724727,-1,3.48522062576459,-1,0.347032304986548,-0.163285049977325,0
